exchange,instrument_token,tradingsymbol
NSE,5101569,HUDCO-N8
NSE,3901185,BIRLAMONEY
NSE,1707521,INFARINDIA
NSE,2703361,NAVKARCORP-BL
NSE,5533953,ABCAPITAL-BL
NSE,3861249,ADANIPORTS
NSE,4419329,ARMANFIN
NSE,3713281,BALAMINES-BE
NSE,1219329,BANKBARODA-BE
NSE,2928385,BANKBEES
NSE,3715841,BANSWRAS-BE
NSE,1789185,CARRIERAIR-BE
NSE,3123713,CASTEXTECH-BL
NSE,5421569,CDSL-BE
NSE,5421313,CDSL-BL
NSE,5420545,CDSL
NSE,3370497,CELEBRITY-BL
NSE,3146497,CENTEXT-BL
NSE,3813889,CENTRALBK-BE
NSE,1374209,CHENNPETRO-BE
NSE,6938881,CHROMATIC-BE
NSE,4578305,DBCORP-BL
NSE,3155457,DCW-BL
NSE,1373441,BATAINDIA-BE
NSE,3419393,GANGOTRI
NSE,5001473,PDPL
NSE,4645121,EMMBI-BL
NSE,4550145,GROBTEA-BE
NSE,4915969,SGBNOV24-GB
NSE,211713,DEEPAKFERT
NSE,212481,DEEPAKNITR
NSE,4671233,DEEPIND-BL
NSE,3542273,DONEAR-BL
NSE,2166273,DUNCANSIND-BE
NSE,7697153,DUNCANSLTD-BE
NSE,3862529,EDL
NSE,4818433,ENDURANCE
NSE,1256193,ENGINERSIN
NSE,2683649,ENTEGRA
NSE,3412225,ERAINFRA-BL
NSE,3411713,ERAINFRA
NSE,6128129,ESSARPORTS-BE
NSE,6563329,ESSARSHPNG-BE
NSE,6562305,ESSARSHPNG
NSE,4352001,GISOLUTION-BE
NSE,3604481,GODREJIND-BE
NSE,4527361,GPTINFRA
NSE,2185985,GTNIND-BE
NSE,3449089,GTNTEX
NSE,3179009,GUFICBIO-BL
NSE,5003009,HDFCMFGETF
NSE,2389505,RAVALSUGAR-BE
NSE,1884161,SETFNN50-BL
NSE,3028225,SSWL
NSE,5401857,STARCEMENT-BE
NSE,2160129,DATAPROINF-BE
NSE,3798529,DECCANCE
NSE,3508225,HINDZINC-BL
NSE,3914753,HERCULES-BE
NSE,3914497,HERCULES-BL
NSE,3183361,HERITGFOOD-BL
NSE,4895233,HIGHGROUND-BE
NSE,4894977,HIGHGROUND-BL
NSE,3188225,HIL-BL
NSE,4593409,HINDCOPPER-BE
NSE,7589889,HUDCO-N6
NSE,7590401,HUDCO-N7
NSE,3790593,HDIL-BE
NSE,1806849,HESTERBIO-BL
NSE,1804289,HESTERBIO
NSE,4364801,HINDNATGLS-BE
NSE,5110273,HUDCO-NA
NSE,4767233,IBULHSGFIN-N7
NSE,3489793,ICSA
NSE,3606017,IGPL
NSE,2997505,JETAIRWAYS
NSE,3513089,JHS-BE
NSE,3189761,IDBI-BL
NSE,2795521,IDFCBANK-NE
NSE,2883073,IGL
NSE,3607041,IGPL-BE
NSE,5515265,JUBLINDS-BL
NSE,1477889,ITI-BE
NSE,3200769,JAICORPLTD-BL
NSE,2503169,JAIPARBOLI-BE
NSE,5357825,JALAN-SM
NSE,1388801,JBFIND-BE
NSE,3083265,JCHAC-BL
NSE,3857153,JCTEL-BL
NSE,3006209,JINDALPHOT
NSE,4400641,SHRIPISTON-BE
NSE,2122497,SHRIYAMSEC-BE
NSE,3198721,ITC-BL
NSE,3444993,KAMDHENU
NSE,3903233,KAVVERITEL-BL
NSE,2632193,KAYA-BE
NSE,3394817,KEC-BE
NSE,3097345,KHAITANLTD-BL
NSE,467457,KAMATHOTEL
NSE,1231105,KCPSUGIND
NSE,2469121,KHANDSE-BE
NSE,3097601,KHANDSE-BL
NSE,5104641,KILITCH-BL
NSE,5103873,KILITCH
NSE,2148609,KINETICENG-BE
